2currency_pair,volume_24h
ETH/BTC,14 010.70 ETH
ETH/USD,685.28 ETH
ETH/RUR,128.10 ETH
WNL/ETH,19.09 ETH
CHSB/ETH,13.62 ETH
OMG/ETH,12.56 ETH
XFC/ETH,9.56 ETH
XSN/ETH,3.39 ETH2
VET/ETH,2.54 ETH
CRC/ETH,3.66 ETH
VMR/ETH,2.42 ETH
DGB/ETH,2.15 ETH
NOKU/ETH,1.43 ETH
ZEC/ETH,1.27 ETH
PZM/ETH,1.24 ETH
ONL/ETH,1.37 ETH
XRP/ETH,1.22 ETH
HB/ETH,1.17 ETH
IPL/ETH,1.09 ETH
YOC/ETH,1.08 ETH
IMP/ETH,1.02 ETH
CCRB/ETH,0.95 ETH
CPC/ETH,0.90 ETH
HEDG/ETH,0.94 ETH
GAS/ETH,0.86 ETH
MDC/ETH,0.96 ETH
QTUM/ETH,0.85 ETH
MIOTA/ETH,0.81 ETH
KNC/ETH,0.80 ETH
QBIT/ETH,0.57 ETH
TRST/ETH,0.42 ETH
